Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
28,male,skilled,own,moderate,rich,1323,6,car,1
27,female,skilled,own,little,little,3123,24,car,0
42,male,skilled,free,little,little,5493,36,car,1
49,male,skilled,own,moderate,rich,1126,9,radio/TV,1
38,male,skilled,own,moderate,moderate,1216,24,radio/TV,0
24,female,skilled,rent,little,little,1207,24,car,0
27,male,unskilled and resident,own,none,none,1309,10,car,0
36,male,skilled,own,quite rich,rich,2360,15,car,1
34,male,highly skilled,own,moderate,moderate,6850,15,car,0
28,male,skilled,own,little,none,1413,24,radio/TV,1
45,male,highly skilled,own,moderate,none,8588,39,car,1
26,male,skilled,own,little,little,759,12,car,0
32,male,highly skilled,free,little,none,4686,36,car,1
26,male,skilled,rent,little,rich,2687,15,business,1
20,male,skilled,rent,little,moderate,585,12,radio/TV,1
54,male,skilled,own,none,none,2255,24,car,1
37,female,skilled,own,little,little,609,6,car,1
40,male,unskilled and resident,own,little,little,1361,6,car,1
23,female,skilled,rent,little,none,7127,36,furniture/equipment,0
43,male,skilled,own,moderate,little,1203,6,car,1
36,male,skilled,free,none,none,700,6,radio/TV,1
44,male,skilled,free,little,none,5507,24,repairs,1
24,female,skilled,own,little,little,3190,18,radio/TV,0
53,male,skilled,free,little,little,7119,48,furniture/equipment,0
23,female,skilled,own,moderate,none,3488,24,car,1
26,female,unskilled and resident,own,little,moderate,1113,18,radio/TV,1
30,male,skilled,own,little,moderate,7966,26,car,1
31,female,skilled,own,moderate,none,1532,15,education,1
42,male,unskilled and resident,own,little,none,1503,4,radio/TV,1
31,male,skilled,rent,little,little,2302,36,radio/TV,0
41,male,unskilled and resident,own,little,little,662,6,car,1
32,male,skilled,own,little,moderate,2273,36,education,1
28,female,skilled,rent,moderate,moderate,2631,15,car,0
41,male,skilled,rent,little,none,1503,12,car,1
26,male,skilled,own,moderate,none,1311,24,radio/TV,1
25,male,skilled,own,none,none,3105,24,radio/TV,1
33,male,skilled,rent,little,rich,2319,21,education,0
75,female,highly skilled,own,none,little,1374,6,car,1
37,female,skilled,own,little,moderate,3612,18,furniture/equipment,1
42,male,highly skilled,free,little,little,7763,48,car,0
45,female,unskilled and resident,own,little,rich,3049,18,furniture/equipment,1
23,male,skilled,rent,little,moderate,1534,12,radio/TV,0
60,male,skilled,free,little,none,2032,24,car,1
31,male,skilled,own,none,little,6350,30,furniture/equipment,0
34,male,unskilled and resident,own,little,rich,2864,18,furniture/equipment,0
61,male,unskilled and resident,own,little,none,1255,12,car,1
43,male,skilled,free,little,little,1333,24,car,0
37,female,skilled,own,little,none,2022,24,car,1
32,male,skilled,own,little,none,1552,24,radio/TV,1
24,female,unskilled and resident,own,little,little,626,12,radio/TV,0
35,male,skilled,free,none,none,8858,48,car,1
23,female,skilled,own,none,none,996,12,repairs,1
45,male,unskilled and resident,own,quite rich,none,1750,6,radio/TV,1
34,male,skilled,own,little,little,6999,48,radio/TV,0
27,male,skilled,own,moderate,moderate,1995,12,car,1
67,female,highly skilled,own,little,moderate,1199,9,education,1
22,male,skilled,own,little,moderate,1331,12,radio/TV,0
28,female,skilled,own,moderate,moderate,2278,18,car,0
29,female,skilled,own,none,none,5003,21,car,0
27,male,skilled,own,little,little,3552,24,furniture/equipment,0
31,male,unskilled and resident,own,little,moderate,1928,18,furniture/equipment,0
49,male,skilled,free,none,little,2964,24,car,1
24,male,unskilled and resident,rent,little,little,1546,24,radio/TV,0
29,female,skilled,own,little,rich,683,6,radio/TV,1
37,male,skilled,free,none,moderate,12389,36,car,0
37,male,highly skilled,own,none,moderate,4712,24,business,1
23,female,skilled,rent,moderate,moderate,1553,24,radio/TV,1
36,male,skilled,own,little,little,1372,12,car,0
34,male,skilled,own,rich,none,2578,24,radio/TV,1
41,male,skilled,own,none,moderate,3979,48,radio/TV,1
31,female,skilled,own,little,little,6758,48,radio/TV,0
23,female,unskilled and resident,rent,little,little,3234,24,furniture/equipment,0
38,male,skilled,own,little,none,5954,30,radio/TV,1
26,female,highly skilled,rent,none,none,5433,24,car,1
22,female,unskilled and resident,own,little,little,806,15,business,1
27,male,unskilled and resident,own,little,moderate,1082,9,radio/TV,1
24,female,skilled,own,little,none,2788,15,furniture/equipment,1
27,female,skilled,own,little,moderate,2930,12,radio/TV,1
33,female,skilled,own,none,none,1927,24,education,1
27,male,skilled,own,little,moderate,2820,36,car,0
27,male,unskilled and resident,own,little,none,937,24,education,1
30,male,skilled,own,little,moderate,1056,18,car,0
49,male,unskilled and resident,own,little,moderate,3124,12,car,1
26,female,skilled,rent,little,none,1388,9,furniture/equipment,1
33,male,unskilled and resident,rent,little,moderate,2384,36,repairs,0
52,female,highly skilled,free,none,none,2133,12,car,1
20,female,skilled,rent,little,little,2039,18,furniture/equipment,0
36,male,skilled,rent,little,little,2799,9,car,1
21,male,unskilled and resident,own,little,little,1289,12,furniture/equipment,1
47,male,unskilled and resident,own,little,little,1217,18,domestic appliances,0
60,male,skilled,own,little,little,2246,12,furniture/equipment,0
58,female,unskilled and resident,own,little,little,385,12,radio/TV,1
42,female,skilled,rent,none,moderate,1965,24,car,1
36,female,unskilled and resident,own,rich,none,1572,21,business,1
20,female,unskilled and resident,rent,little,moderate,2718,24,car,0
40,male,highly skilled,own,none,little,1358,24,vacation/others,0
32,female,unskilled and resident,own,moderate,moderate,931,6,car,0
23,female,skilled,rent,little,little,1442,24,car,0
36,male,unskilled and resident,own,little,moderate,4241,24,business,0
31,male,skilled,own,little,none,2775,18,car,0
32,male,skilled,free,little,none,3863,24,business,1
45,female,skilled,own,little,moderate,2329,7,radio/TV,1
30,female,skilled,own,little,moderate,918,9,furniture/equipment,0
34,female,unskilled and resident,free,little,moderate,1837,24,education,0
28,female,highly skilled,own,little,none,3349,36,furniture/equipment,0
23,female,skilled,own,little,rich,1275,10,furniture/equipment,1
22,male,skilled,own,quite rich,little,2828,24,furniture/equipment,1
74,male,highly skilled,own,little,none,4526,24,business,1
50,female,skilled,free,moderate,moderate,2671,36,radio/TV,0
33,male,skilled,own,little,none,2051,18,radio/TV,1
45,male,skilled,free,none,none,1300,15,car,1
22,female,skilled,own,moderate,little,741,12,domestic appliances,0
48,female,unskilled and resident,free,moderate,rich,1240,10,car,0
29,female,skilled,own,rich,little,3357,21,radio/TV,1
22,female,skilled,rent,little,little,3632,24,car,1
22,female,skilled,own,little,none,1808,18,furniture/equipment,0
48,male,highly skilled,own,none,moderate,12204,48,business,1
27,male,highly skilled,free,none,moderate,9157,60,radio/TV,1
37,male,skilled,rent,little,little,3676,6,car,1
21,female,skilled,rent,moderate,moderate,3441,30,furniture/equipment,0
49,male,unskilled and resident,own,little,none,640,12,car,1
27,male,skilled,own,little,moderate,3652,21,business,1
32,male,skilled,own,little,none,1530,18,car,0
38,male,skilled,own,none,none,3914,48,business,0
22,female,skilled,rent,little,little,1858,12,furniture/equipment,1
65,male,skilled,free,little,little,2600,18,radio/TV,0
35,male,skilled,own,none,none,1979,15,radio/TV,1
41,male,skilled,own,little,rich,2116,6,furniture/equipment,1
29,male,skilled,own,moderate,moderate,1437,9,car,0
36,male,skilled,own,quite rich,none,4042,42,furniture/equipment,1
64,male,unskilled and resident,own,none,none,3832,9,education,1
28,female,skilled,own,little,little,3660,24,radio/TV,1
44,male,skilled,own,little,little,1553,18,furniture/equipment,0
23,male,skilled,own,none,moderate,1444,15,radio/TV,1
19,female,skilled,rent,little,none,1980,9,furniture/equipment,0
25,female,unskilled and resident,own,little,moderate,1355,24,car,0
47,male,skilled,own,little,none,1393,12,education,1
28,female,skilled,own,quite rich,none,1376,24,radio/TV,1
21,male,skilled,own,little,none,15653,60,radio/TV,1
34,female,skilled,own,little,none,1493,12,radio/TV,1
26,male,skilled,own,little,little,4370,42,radio/TV,0
27,female,unskilled and non-resident,own,little,little,750,18,education,0
38,male,unskilled and resident,own,little,moderate,1308,15,repairs,1
40,male,highly skilled,own,moderate,none,4623,15,education,0
33,male,skilled,own,little,none,1851,24,radio/TV,1
32,male,highly skilled,own,little,little,1880,18,radio/TV,1
27,male,skilled,rent,none,none,7980,36,business,0
32,male,skilled,own,little,little,4583,30,furniture/equipment,1
26,female,skilled,own,quite rich,none,1386,12,car,0
38,male,skilled,free,little,rich,947,24,car,0
40,male,unskilled and resident,rent,little,little,684,12,education,0
50,male,highly skilled,free,little,little,7476,48,education,1
37,male,unskilled and resident,own,little,moderate,1922,12,furniture/equipment,0
45,male,skilled,own,little,little,2303,24,car,0
42,male,highly skilled,own,moderate,moderate,8086,36,car,0
35,male,skilled,own,little,none,2346,24,car,1
22,male,skilled,free,little,little,3973,14,car,1
41,male,unskilled and resident,own,little,moderate,888,12,car,0
37,male,skilled,own,none,none,10222,48,radio/TV,1
28,female,skilled,own,little,moderate,4221,30,business,1
41,male,skilled,own,little,moderate,6361,18,furniture/equipment,1
23,male,skilled,rent,little,rich,1297,12,radio/TV,1
23,male,skilled,own,none,little,900,12,car,0
50,male,skilled,own,little,none,2241,21,furniture/equipment,1
35,male,highly skilled,own,little,moderate,1050,6,furniture/equipment,1
50,female,unskilled and resident,own,little,rich,1047,6,education,1
27,male,highly skilled,own,little,none,6314,24,vacation/others,1
34,male,skilled,own,rich,moderate,3496,30,furniture/equipment,1
27,female,skilled,own,little,none,3609,48,business,1
43,male,skilled,rent,little,little,4843,12,car,0
47,male,skilled,own,little,rich,3017,30,radio/TV,1
27,male,unskilled and resident,own,moderate,none,4139,24,business,1
31,male,skilled,own,moderate,none,5742,36,business,1
42,male,highly skilled,own,little,none,10366,60,car,1
24,male,skilled,own,quite rich,none,2080,6,car,1
41,male,unskilled and resident,own,quite rich,none,2580,21,business,0
26,female,highly skilled,rent,little,none,4530,30,radio/TV,1
33,male,skilled,own,little,none,5150,24,furniture/equipment,1
24,male,skilled,own,moderate,moderate,5595,72,radio/TV,0
64,male,unskilled and resident,rent,little,little,2384,24,radio/TV,1
26,female,skilled,own,little,none,1453,18,radio/TV,1
56,female,skilled,own,little,none,1538,6,education,1
37,male,skilled,free,none,none,2279,12,radio/TV,1
33,male,skilled,own,little,none,1478,15,radio/TV,1
47,male,skilled,free,little,none,5103,24,radio/TV,1
31,male,unskilled and resident,own,moderate,moderate,9857,36,business,1
34,male,skilled,free,none,none,6527,60,car,1
27,male,skilled,own,none,rich,1347,10,radio/TV,1
30,male,skilled,free,moderate,moderate,2862,36,car,1
35,male,skilled,own,moderate,none,2753,9,radio/TV,1
31,male,skilled,own,rich,little,3651,12,car,1
25,male,skilled,own,little,little,975,15,furniture/equipment,1
25,female,unskilled and resident,own,moderate,moderate,2631,15,repairs,1
29,male,skilled,own,moderate,moderate,2896,24,radio/TV,1
44,male,unskilled and resident,own,none,little,4716,6,car,1
28,male,skilled,own,little,none,2284,24,radio/TV,1
50,male,skilled,rent,quite rich,none,1236,6,car,1
29,male,skilled,own,little,moderate,1103,12,radio/TV,1
38,female,unskilled and non-resident,own,little,none,926,12,car,1
24,male,skilled,own,little,none,1800,18,radio/TV,1
40,male,highly skilled,rent,little,rich,1905,15,education,1
29,female,unskilled and resident,rent,quite rich,none,1123,12,furniture/equipment,0
46,male,skilled,free,little,little,6331,48,car,0
47,female,skilled,free,moderate,rich,1377,24,radio/TV,1
41,male,skilled,own,moderate,moderate,2503,30,business,1
32,female,skilled,own,little,moderate,2528,27,business,1
35,female,skilled,free,quite rich,none,5324,15,car,1
24,male,skilled,own,moderate,moderate,6560,48,car,0
25,female,skilled,rent,little,moderate,2969,12,furniture/equipment,0
25,female,skilled,own,little,moderate,1206,9,radio/TV,1
37,male,unskilled and resident,own,little,moderate,2118,9,radio/TV,1
32,male,highly skilled,own,quite rich,none,629,18,radio/TV,1
35,female,skilled,free,little,little,1198,6,education,0
46,male,highly skilled,own,none,none,2476,21,car,1
25,male,unskilled and resident,own,little,little,1138,9,radio/TV,1
27,male,highly skilled,own,little,moderate,14027,60,car,0
63,male,skilled,own,none,none,7596,30,car,1
40,male,skilled,own,none,none,3077,30,radio/TV,1
32,male,highly skilled,free,little,none,1505,18,radio/TV,1
31,male,skilled,own,none,rich,3148,24,radio/TV,1
31,male,skilled,own,moderate,moderate,6148,20,car,1
34,male,highly skilled,own,little,rich,1337,9,radio/TV,0
24,female,skilled,rent,rich,moderate,433,6,education,0
24,female,unskilled and resident,own,little,little,1228,12,car,0
66,female,unskilled and resident,own,quite rich,moderate,790,9,radio/TV,1
21,female,skilled,rent,little,none,2570,27,car,0
41,female,unskilled and resident,own,rich,none,250,6,car,1
47,male,unskilled and resident,own,quite rich,none,1316,15,radio/TV,1
25,female,skilled,rent,little,little,1882,18,radio/TV,0
59,female,skilled,rent,little,moderate,6416,48,business,0
36,male,skilled,own,rich,rich,1275,24,business,1
33,male,skilled,own,little,moderate,6403,24,radio/TV,1
21,male,unskilled and resident,rent,little,little,1987,24,radio/TV,0
44,female,unskilled and resident,own,little,moderate,760,8,radio/TV,1
28,female,skilled,rent,rich,none,2603,24,car,1
37,female,skilled,own,little,none,3380,4,car,1
29,female,unskilled and non-resident,own,none,moderate,3990,36,domestic appliances,1
23,female,highly skilled,rent,little,moderate,11560,24,car,0
35,male,unskilled and resident,own,moderate,little,4380,18,car,1
45,male,highly skilled,own,little,none,6761,6,car,1
26,female,unskilled and resident,rent,moderate,moderate,4280,30,business,0
32,male,skilled,own,moderate,little,2325,24,car,1
23,male,unskilled and resident,own,little,moderate,1048,10,radio/TV,1
41,male,skilled,own,none,none,3160,21,radio/TV,1
22,male,skilled,own,quite rich,little,2483,24,furniture/equipment,1
30,male,highly skilled,own,none,little,14179,39,furniture/equipment,1
28,male,unskilled and resident,own,little,little,1797,13,business,1
23,female,skilled,rent,little,little,2511,15,car,1
37,female,unskilled and resident,own,little,little,1274,12,car,0
26,male,skilled,own,none,none,5248,21,car,1
33,male,skilled,own,little,none,3029,15,car,1
49,female,skilled,own,little,little,428,6,furniture/equipment,1
23,female,unskilled and resident,own,little,little,976,18,car,0
23,female,unskilled and resident,rent,moderate,moderate,841,12,business,1
25,female,skilled,own,little,none,5771,30,radio/TV,1
55,male,skilled,free,rich,none,1555,12,repairs,0
32,female,skilled,rent,none,little,1285,24,car,0
74,male,unskilled and non-resident,own,little,rich,1299,6,car,1
39,male,skilled,free,none,rich,1271,15,radio/TV,0
31,male,skilled,own,little,none,1393,24,car,1
35,male,skilled,own,little,little,691,12,car,0
59,female,skilled,own,none,none,5045,15,car,1
24,female,skilled,rent,little,little,2124,18,furniture/equipment,0
24,male,unskilled and resident,own,little,little,2214,12,radio/TV,1
30,male,highly skilled,free,none,none,12680,21,car,0
27,male,skilled,own,moderate,none,2463,24,car,1
40,male,unskilled and resident,own,little,moderate,1155,12,radio/TV,1
31,male,unskilled and resident,own,little,little,3108,30,furniture/equipment,0
31,female,skilled,rent,none,none,2901,10,car,1
28,male,skilled,rent,little,moderate,3617,12,furniture/equipment,1
63,male,unskilled and resident,own,little,none,1655,12,radio/TV,1
26,female,skilled,rent,none,little,2812,24,car,1
25,female,highly skilled,own,little,little,8065,36,education,0
36,male,highly skilled,own,little,none,3275,21,car,1
52,male,skilled,own,moderate,none,2223,24,radio/TV,1
66,male,unskilled and non-resident,free,quite rich,rich,1480,12,car,1
25,female,skilled,rent,none,little,1371,24,car,0
37,male,skilled,own,little,none,3535,36,car,1
25,female,skilled,own,little,little,3509,18,radio/TV,1
38,male,highly skilled,own,rich,none,5711,36,car,1
67,female,skilled,own,little,moderate,3872,18,repairs,1
25,male,skilled,own,little,moderate,4933,39,radio/TV,0
60,male,skilled,own,rich,none,1940,24,car,1
31,male,unskilled and resident,own,little,moderate,1410,12,education,1
23,female,unskilled and resident,own,moderate,moderate,836,12,car,0
60,male,highly skilled,own,none,moderate,6468,20,car,1
35,male,unskilled and resident,own,rich,moderate,1941,18,business,1
40,male,skilled,own,quite rich,none,2675,22,radio/TV,1
38,male,skilled,own,none,none,2751,48,car,1
50,male,skilled,free,little,moderate,6224,48,education,0
27,male,skilled,own,little,little,5998,40,education,0
39,female,skilled,own,little,moderate,1188,21,business,0
41,male,highly skilled,own,none,none,6313,24,car,1
27,male,skilled,own,none,none,1221,6,furniture/equipment,1
51,male,skilled,free,little,rich,2892,24,furniture/equipment,1
32,male,skilled,rent,quite rich,none,3062,24,furniture/equipment,1
22,female,skilled,rent,moderate,none,2301,9,furniture/equipment,1
51,male,skilled,free,none,little,7511,18,car,0
22,female,unskilled and resident,rent,little,none,1258,12,furniture/equipment,1
54,male,skilled,own,none,none,717,24,car,1
35,male,unskilled and non-resident,own,none,moderate,1549,9,car,1
54,male,skilled,free,little,none,1597,24,education,1
48,female,unskilled and resident,rent,little,moderate,1795,18,radio/TV,1
24,female,skilled,own,little,little,4272,20,furniture/equipment,1
35,male,skilled,own,none,none,976,12,radio/TV,1
24,female,unskilled and non-resident,rent,none,moderate,7472,12,car,1
24,male,skilled,own,little,little,9271,36,car,0
26,male,unskilled and resident,own,little,moderate,590,6,radio/TV,1
65,male,skilled,own,none,none,930,12,radio/TV,1
55,male,highly skilled,free,little,moderate,9283,42,car,1
26,female,unskilled and non-resident,rent,little,moderate,1778,15,car,0
26,male,skilled,own,little,moderate,907,8,business,1
28,male,unskilled and resident,own,little,moderate,484,6,radio/TV,1
24,male,skilled,own,little,little,9629,36,car,0
54,male,skilled,own,little,little,3051,48,domestic appliances,0
46,male,skilled,free,little,little,3931,48,car,0
54,female,skilled,rent,little,moderate,7432,36,car,1
62,male,skilled,own,quite rich,none,1338,6,domestic appliances,1
24,female,skilled,rent,little,none,1554,6,radio/TV,1
43,male,highly skilled,own,little,little,15857,36,vacation/others,1
26,male,skilled,own,little,little,1345,18,radio/TV,0
27,male,skilled,own,little,none,1101,12,car,1
24,male,skilled,own,little,rich,3016,12,radio/TV,1
41,male,skilled,own,little,little,2712,36,furniture/equipment,0
47,male,unskilled and resident,own,little,little,731,8,car,1
35,male,highly skilled,own,little,none,3780,18,furniture/equipment,1
30,male,skilled,own,little,little,1602,21,car,1
33,female,skilled,rent,little,little,3966,18,car,0
36,male,skilled,own,little,none,4165,18,business,0
47,male,skilled,free,none,little,8335,36,car,0
38,male,skilled,free,none,moderate,6681,48,business,1
44,male,skilled,own,quite rich,none,2375,24,business,1
23,female,skilled,rent,little,little,1216,18,car,0
29,male,skilled,rent,little,little,11816,45,business,0
42,female,skilled,own,none,moderate,5084,24,radio/TV,1
25,female,unskilled and resident,own,little,rich,2327,15,radio/TV,0
48,male,skilled,own,little,little,1082,12,car,0
21,female,skilled,own,none,none,886,12,radio/TV,1
23,female,unskilled and resident,rent,little,none,601,4,furniture/equipment,1
63,male,skilled,own,little,little,2957,24,car,1
46,male,skilled,own,little,none,2611,24,radio/TV,1
29,male,skilled,own,little,little,5179,36,furniture/equipment,0
28,male,unskilled and resident,own,little,none,2993,21,car,1
23,female,skilled,own,little,none,1943,18,repairs,0
50,male,skilled,own,little,none,1559,24,business,1
47,male,skilled,own,little,none,3422,18,furniture/equipment,1
35,male,skilled,own,none,moderate,3976,21,furniture/equipment,1
68,male,skilled,rent,none,none,6761,18,car,0
28,male,skilled,own,little,none,1249,24,car,1
59,male,skilled,own,little,little,1364,9,radio/TV,1
57,male,unskilled and resident,own,little,little,709,12,radio/TV,0
33,male,skilled,rent,little,little,2235,20,car,0
43,male,skilled,own,none,none,4042,24,car,1
35,male,skilled,free,little,none,1471,15,radio/TV,1
32,male,unskilled and resident,free,little,little,1442,18,car,0
45,male,skilled,own,little,none,10875,36,car,1
33,male,skilled,own,moderate,none,1474,24,car,1
40,female,skilled,own,none,none,894,10,education,1
28,male,skilled,free,little,none,3343,15,furniture/equipment,1
29,female,skilled,own,little,little,3959,15,car,0
26,male,skilled,rent,moderate,none,3577,9,car,1
27,male,skilled,own,rich,none,5804,24,car,1
28,male,skilled,own,little,none,2169,18,business,0
35,female,skilled,own,little,little,2439,24,radio/TV,0
32,male,unskilled and resident,own,rich,none,4526,27,furniture/equipment,1
25,male,unskilled and resident,rent,little,none,2210,10,furniture/equipment,0
20,female,skilled,rent,quite rich,none,2221,15,furniture/equipment,1
27,female,skilled,own,little,little,2389,18,radio/TV,1
42,male,skilled,own,little,none,3331,12,furniture/equipment,1
37,male,skilled,own,none,none,7409,36,business,1
24,female,skilled,rent,little,little,652,12,furniture/equipment,1
40,female,skilled,own,quite rich,none,7678,36,furniture/equipment,1
46,male,skilled,own,little,rich,1343,6,car,1
26,male,skilled,own,moderate,little,1382,24,business,1
24,female,skilled,own,none,none,874,15,domestic appliances,1
29,male,unskilled and resident,own,little,little,3590,12,furniture/equipment,1
40,female,skilled,own,rich,moderate,1322,11,car,1
36,male,highly skilled,free,little,little,1940,18,radio/TV,1
28,male,skilled,own,little,none,3595,36,radio/TV,1
27,male,highly skilled,free,little,little,1422,9,car,0
36,male,skilled,own,none,none,6742,30,radio/TV,1
38,male,highly skilled,own,little,none,7814,24,car,1
48,male,skilled,free,none,none,9277,24,car,1
36,male,skilled,own,none,moderate,2181,30,car,1
65,female,unskilled and non-resident,own,little,none,1098,18,radio/TV,1
43,male,skilled,own,little,moderate,4057,24,furniture/equipment,0
53,female,skilled,own,little,little,795,12,education,0
34,male,skilled,own,none,moderate,2825,24,business,1
23,male,skilled,own,little,moderate,15672,48,business,0
34,male,highly skilled,own,little,none,6614,36,car,1
40,male,skilled,rent,none,none,7824,28,car,1
43,male,highly skilled,own,little,little,2442,27,business,1
46,male,skilled,own,little,none,1829,15,radio/TV,1
38,male,unskilled and resident,own,little,little,2171,12,car,1
34,male,skilled,own,little,moderate,5800,36,car,1
29,male,skilled,own,none,none,1169,18,radio/TV,1
31,male,highly skilled,own,none,none,8947,36,car,1
28,female,highly skilled,rent,little,little,2606,21,radio/TV,1
35,female,skilled,own,rich,none,1592,12,furniture/equipment,1
33,female,unskilled and resident,rent,none,none,2186,15,furniture/equipment,1
42,male,skilled,own,little,little,4153,18,furniture/equipment,0
43,male,skilled,rent,little,little,2625,16,car,0
44,male,skilled,own,none,none,3485,20,car,1
42,male,skilled,free,none,none,10477,36,car,1
40,male,skilled,rent,none,none,1386,15,radio/TV,1
36,male,highly skilled,own,little,none,1278,24,radio/TV,1
20,male,highly skilled,rent,little,little,1107,12,radio/TV,1
24,male,unskilled and resident,own,none,little,3763,21,car,1
27,male,skilled,own,none,moderate,3711,36,education,1
46,female,unskilled and resident,own,little,none,3594,15,car,1
33,female,unskilled and resident,own,none,moderate,3195,9,car,1
34,female,skilled,own,little,none,4454,36,radio/TV,1
25,female,unskilled and resident,own,little,moderate,4736,24,furniture/equipment,0
25,female,skilled,own,none,moderate,2991,30,radio/TV,1
28,male,skilled,own,rich,none,2142,11,business,1
31,male,skilled,rent,little,little,3161,24,business,0
32,female,highly skilled,own,little,moderate,18424,48,vacation/others,0
32,male,skilled,own,moderate,none,2848,10,car,1
68,male,highly skilled,own,little,little,14896,6,car,0
33,male,skilled,own,moderate,little,2359,24,furniture/equipment,0
39,male,highly skilled,rent,little,little,3345,24,furniture/equipment,0
28,female,skilled,own,little,none,1817,18,furniture/equipment,1
37,male,highly skilled,own,quite rich,none,12749,48,radio/TV,1
22,female,skilled,rent,little,little,1366,9,radio/TV,0
30,male,skilled,rent,little,moderate,2002,12,car,1
55,male,skilled,own,little,little,6872,24,furniture/equipment,0
46,male,skilled,own,little,little,697,12,car,0
21,female,skilled,rent,little,little,1049,18,furniture/equipment,1
39,male,skilled,free,little,little,10297,48,car,0
58,male,skilled,own,none,none,1867,30,radio/TV,1
43,male,unskilled and resident,own,little,little,1344,12,car,1
24,male,unskilled and resident,own,little,little,1747,24,furniture/equipment,1
22,female,skilled,own,little,moderate,1670,9,radio/TV,0
30,male,skilled,own,little,none,1224,9,car,1
42,male,skilled,own,quite rich,none,522,12,radio/TV,1
23,female,skilled,own,little,little,1498,12,radio/TV,1
30,male,highly skilled,own,moderate,moderate,1919,30,radio/TV,0
28,female,unskilled and resident,own,little,rich,745,9,radio/TV,0
30,male,highly skilled,rent,little,moderate,2063,6,radio/TV,1
42,male,skilled,free,little,moderate,6288,60,education,0
46,male,highly skilled,own,none,none,6842,24,car,1
45,male,highly skilled,own,none,none,3527,12,car,1
31,male,unskilled and resident,own,little,none,1546,10,car,1
31,male,skilled,own,none,none,929,24,furniture/equipment,1
42,male,unskilled and resident,own,little,none,1455,4,car,1
46,female,skilled,rent,little,little,1845,15,furniture/equipment,1
30,female,skilled,own,quite rich,moderate,8358,48,car,1
30,male,skilled,free,quite rich,little,3349,24,furniture/equipment,0
38,male,highly skilled,own,none,none,2859,12,car,1
43,male,unskilled and resident,own,little,none,1533,18,furniture/equipment,0
31,male,skilled,own,moderate,none,3621,24,radio/TV,0
40,male,unskilled and non-resident,own,little,moderate,3590,18,business,1
24,male,skilled,own,little,little,2145,36,business,0
28,female,skilled,rent,quite rich,moderate,4113,24,car,0
26,female,highly skilled,own,little,none,10974,36,furniture/equipment,0
29,female,skilled,own,little,little,1893,12,car,1
57,female,highly skilled,rent,rich,little,1231,24,radio/TV,1
49,male,unskilled and resident,own,none,rich,3656,30,radio/TV,1
37,male,unskilled and resident,own,little,moderate,1154,9,radio/TV,1
45,male,unskilled and resident,own,little,little,4006,28,car,0
30,male,skilled,free,moderate,moderate,3069,24,furniture/equipment,1
30,male,skilled,rent,little,none,1740,6,radio/TV,1
47,male,skilled,own,little,moderate,2353,21,car,1
29,male,skilled,own,none,none,3556,15,car,1
35,male,skilled,own,quite rich,none,2397,24,radio/TV,0
22,male,unskilled and resident,own,little,moderate,454,6,repairs,1
26,female,skilled,own,none,moderate,1715,30,radio/TV,1
23,male,unskilled and resident,own,quite rich,moderate,2520,27,radio/TV,0
54,female,highly skilled,rent,little,none,3568,15,radio/TV,1
29,male,skilled,rent,none,none,7166,42,radio/TV,1
40,male,unskilled and resident,own,little,little,3939,11,car,1
22,male,skilled,own,moderate,moderate,1514,15,repairs,1
43,male,unskilled and resident,own,little,none,7393,24,car,1
29,female,unskilled and non-resident,rent,little,little,1193,24,car,0
36,male,skilled,rent,little,little,7297,60,business,0
33,female,skilled,own,little,none,2831,30,radio/TV,1
57,female,unskilled and resident,own,quite rich,rich,1258,24,radio/TV,1
64,female,skilled,own,little,moderate,753,6,radio/TV,1
42,male,skilled,own,none,moderate,2427,18,business,1
47,male,unskilled and resident,own,little,none,2538,24,car,0
25,male,skilled,rent,moderate,moderate,1264,15,car,0
49,male,skilled,own,little,moderate,8386,30,furniture/equipment,0
33,male,highly skilled,rent,little,none,4844,48,business,0
28,female,highly skilled,own,moderate,rich,2923,21,car,1
26,male,skilled,own,little,little,8229,36,car,0
30,male,unskilled and resident,own,little,none,2028,24,furniture/equipment,1
25,female,skilled,rent,little,little,1433,15,furniture/equipment,1
33,male,skilled,own,little,rich,6289,42,business,1
64,female,skilled,own,moderate,none,1409,13,radio/TV,1
29,male,highly skilled,free,little,little,6579,24,car,1
48,male,unskilled and resident,own,little,moderate,1743,24,radio/TV,1
37,male,unskilled and resident,own,none,none,3565,12,education,1
34,male,unskilled and resident,own,moderate,none,1569,15,radio/TV,1
23,male,unskilled and resident,rent,none,little,1936,18,radio/TV,1
30,male,highly skilled,own,little,little,3959,36,furniture/equipment,1
50,male,skilled,own,none,none,2390,12,car,1
31,female,unskilled and resident,own,little,none,1736,12,furniture/equipment,1
40,male,highly skilled,own,little,little,3857,30,car,1
38,male,skilled,own,little,none,804,12,radio/TV,1
23,male,skilled,free,little,little,1845,45,radio/TV,0
27,male,skilled,own,moderate,moderate,4576,45,car,1
